LAB SAMPLE ID,SITE_NAME,COLLECTION_DATE,Year_Month,SAMPLE TYPE,Experiment,Treatment,Treatment Class,Treatment Number,Plot,SAMPLE DEPTH LABEL,PARAMETER,VALUE,DL,UNITS,DL Flag,ANALYSIS COMMENT
PB11-5254,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,95.5409,,"A, m-1",,
PB11-5266,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,99.8859,,"A, m-1",,
PB11-5278,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,aCDOM280,86.3983,,"A, m-1",,
PB11-5290,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,113.5244,,"A, m-1",,
PB11-5290,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,113.7835,,"A, m-1",,
PB11-5302,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,78.3538,,"A, m-1",,
PB11-5314,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,157.8158,,"A, m-1",,
PB11-5326,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,aCDOM280,141.5866,,"A, m-1",,
PB11-5338,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,71.2166,,"A, m-1",,
PB11-5350,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,52.1613,,"A, m-1",,
PB11-5362,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,aCDOM280,65.4586,,"A, m-1",,
PB11-5374,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,91.3807,,"A, m-1",,
PB11-5386,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,95.3104,,"A, m-1",,
PB11-5398,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,89.2465,,"A, m-1",,
PB11-5410,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,122.1922,,"A, m-1",,
PB11-5410,W21-UM-Central-B,06/07/11,11.5,porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,122.0919,,"A, m-1",,
PB11-5467,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,aCDOM280,-0.413,,"A, m-1",,
PB11-5468,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,aCDOM280,0.2194,,"A, m-1",,
PB11-5469,Field Blanks,06/07/11,11.5,Field Blank,Plot Amendments,process blank,process blank,,,,aCDOM280,0.0028,,"A, m-1",,
PB11-5865,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,aCDOM280,118.3753,,"A, m-1",,
PB11-5876,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,78.5965,,"A, m-1",,
PB11-5887,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,164.7527,,"A, m-1",,
PB11-5898,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,aCDOM280,32.6139,,"A, m-1",,
PB11-5909,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,96.9286,,"A, m-1",,
PB11-5920,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,147.5158,,"A, m-1",,
PB11-5920,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,146.3066,,"A, m-1",,
PB11-5931,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,98.7873,,"A, m-1",,
PB11-5942,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,aCDOM280,252.8105,,"A, m-1",,
PB11-5953,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,172.2735,,"A, m-1",,
PB11-5964,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,122.5408,,"A, m-1",,
PB11-5975,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,aCDOM280,35.2629,,"A, m-1",,
PB11-5986,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,71.5437,,"A, m-1",,
PB11-5997,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,150.1526,,"A, m-1",,
PB11-6008,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,89.9966,,"A, m-1",,
PB11-6008,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,90.3029,,"A, m-1",,
PB11-6019,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,319.5104,,"A, m-1",,
PB11-6019,W21-UM-West-A,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,328.5274,,"A, m-1",,
PB11-6033 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,101.998,,"A, m-1",,
PB11-6044 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.5-FeCl2,FeCl2,2,2,0-5,aCDOM280,111.7597,,"A, m-1",,
PB11-6045,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.1-Lime,Lime,3,1,0-5,aCDOM280,,,"A, m-1",,
PB11-6055 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.1-FeCl2,FeCl2,2,3,0-5,aCDOM280,76.4379,,"A, m-1",,
PB11-6056,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,80.283,,"A, m-1",,
PB11-6066 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,136.9542,,"A, m-1",,
PB11-6067,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,103.5667,,"A, m-1",,
PB11-6077 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,118.0813,,"A, m-1",,
PB11-6078,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.4-FeCl2,FeCl2,2,1,0-5,aCDOM280,67.1976,,"A, m-1",,
PB11-6088 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,117.017,,"A, m-1",,
PB11-6089,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,79.2378,,"A, m-1",,
PB11-6099 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,123.1682,,"A, m-1",,
PB11-6099 Org's,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R3.5-Lime,Lime,3,3,0-5,aCDOM280,122.9372,,"A, m-1",,
PB11-6100,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,88.367,,"A, m-1",,
PB11-6111,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,97.9449,,"A, m-1",,
PB11-6122,W21-UM-Central-B,09/27/11,11.75,Porewater,Plot Amendments,R2.3-Lime,Lime,3,2,0-5,aCDOM280,101.0532,,"A, m-1",,
PB11-6132 Org's,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,0.1702,,"A, m-1",,
PB11-6133 Org's,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,0.2879,,"A, m-1",,
PB11-6134 Org's,Field Blanks,09/27/11,11.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,-0.0117,,"A, m-1",,
PB12-6212,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,-0.1037,,"A, m-1",,
PB12-6213,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,0.8276,,"A, m-1",,
PB12-6214,Field Blanks,09/24/12,12.75,Field Blank,Plot Amendments,process blank,,,,,aCDOM280,0.7739,,"A, m-1",,
PB12-6226,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,36.8308,,"A, m-1",,
PB12-6238,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,43.867,,"A, m-1",,
PB12-6250,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,60.8421,,"A, m-1",,
PB12-6262,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,60.7993,,"A, m-1",,
PB12-6274,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,69.6685,,"A, m-1",,
PB12-6286,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,70.3405,,"A, m-1",,
PB12-6298,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,,,"A, m-1",,
PB12-6310,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,48.7902,,"A, m-1",,
PB12-6310,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,48.543,,"A, m-1",,
PB12-6322,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,33.5736,,"A, m-1",,
PB12-6334,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.2-Biochar,Biochar,4,1,0-5,aCDOM280,74.3665,,"A, m-1",,
PB12-6346,W21-UM-West-A,09/24/12,12.75,porewater,Plot Amendments,R1.3-Control,Control,1,1,0-5,aCDOM280,82.1646,,"A, m-1",,
PB12-6358,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R1.5-Sedimite,Sedimite,5,1,0-5,aCDOM280,33.9688,,"A, m-1",,
PB12-6370,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.1-Sedimite,Sedimite,5,2,0-5,aCDOM280,30.1053,,"A, m-1",,
PB12-6382,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.2-Biochar,Biochar,4,2,0-5,aCDOM280,35.3723,,"A, m-1",,
PB12-6394,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R2.4-Control,Control,1,2,0-5,aCDOM280,48.7702,,"A, m-1",,
PB12-6406,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.2-Control,Control,1,3,0-5,aCDOM280,32.2461,,"A, m-1",,
PB12-6418,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.3-Biochar,Biochar,4,3,0-5,aCDOM280,31.4845,,"A, m-1",,
PB12-6430,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,31.1364,,"A, m-1",,
PB12-6430,W21-UM-Central-B,09/24/12,12.75,porewater,Plot Amendments,R3.4-Sedimite,Sedimite,5,3,0-5,aCDOM280,27.8788,,"A, m-1",,
PB10-8944,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,,0-5,aCDOM440,38.9248,,"A, m-1",,
PB10-8956,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM440,6.98,,"A, m-1",,
PB10-8968,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Biochar-Initial,Biochar,4,Composite,0-5,aCDOM440,15.7659,,"A, m-1",,
PB10-8980,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Lime-Initial,Lime,3,Composite,0-5,aCDOM440,28.3996,,"A, m-1",,
PB10-8992,W21-UM-Central-B,09/21/10,10.75,porewater,Plot Amendments,Iron-Initial,FeCl2,2,Composite,0-5,aCDOM440,2.946,,"A, m-1",,
PB10-9004,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Control-Initial,Control,1,Composite,0-5,aCDOM440,11.852,,"A, m-1",,Absorption curves not exponential
PB10-9016,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM440,28.655,,"A, m-1",,
PB10-9016,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Sedimite-Initial,Sedimite,5,,0-5,aCDOM440,28.6753,,"A, m-1",,
PB10-9028,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Biochar-Initial,Biochar,4,Composite,0-5,aCDOM440,5.9612,,"A, m-1",,
PB10-9040,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Lime-Initial,Lime,3,Composite,0-5,aCDOM440,2.0883,,"A, m-1",,Absorption curves not exponential
PB10-9052,W21-UM-West-A,09/21/10,10.75,porewater,Plot Amendments,Iron-Initial,FeCl2,2,Composite,0-5,aCDOM440,1.7076,,"A, m-1",,
