Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Depth interval (in cm),Sample Replicate Number,Analyte,Analyte Units,199Hg-FeS,nano-200HgS,201Hg-humic,202Hg2+,Ambient Hg
#VALUE!,360,17,s,A, 2-5,D4,TotHg,ng/g dw,9.84,0.28,0.38,0.46,0.66
#VALUE!,360,17,s,A, 2-5,D4,TotHg,ng/g dw,10.52,19.67,19.75,18.83,21.99
#VALUE!,360,17,s,A, 2-5,D6,TotHg,ng/g dw,9.59,2.11,2.36,2.36,2.92
#VALUE!,360,18,s,A, 2-5,D1,TotHg,ng/g dw,12.90,2.84,3.17,3.17,3.92
#VALUE!,360,18,s,A, 2-5,D2,TotHg,ng/g dw,9.38,2.40,2.31,2.44,2.63
#VALUE!,360,18,s,A, 2-5,D3,TotHg,ng/g dw,11.47,47.09,47.06,48.12,51.65
#VALUE!,360,18,s,A, 2-5,D4,TotHg,ng/g dw,9.30,4.74,4.37,4.29,4.93
#VALUE!,360,18,s,A, 2-5,D4,TotHg,ng/g dw,14.46,3.55,3.34,3.38,4.14
#VALUE!,360,18,s,A, 2-5,D6,TotHg,ng/g dw,8.84,2.05,1.92,2.00,2.34
#VALUE!,360,16,s,A,0-0.5,F1,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F2,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F3,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,A,0-0.5,F6,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F1,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F2,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F3,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,17,s,A,0-0.5,F6,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F1,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F2,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F3,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F4,TotHg,ng/g dw,,,,,
#VALUE!,360,18,s,A,0-0.5,F6,TotHg,ng/g dw,,,,,
#VALUE!,360,16,s,T,0-2,1,TotHg,ng/g dw,11.54,1.93,2.02,1.96,1.98
#VALUE!,360,16,s,T,0-2,2,TotHg,ng/g dw,12.52,3.66,3.63,3.40,3.40
#VALUE!,360,16,s,T,0-2,3,TotHg,ng/g dw,14.13,8.74,7.86,7.35,7.64
#VALUE!,360,16,s,T,0-2,4,TotHg,ng/g dw,7.53,0.51,0.60,0.71,0.80
#VALUE!,360,16,s,T,0-2,5,TotHg,ng/g dw,9.12,0.34,0.46,0.54,0.62
#VALUE!,360,16,s,T,0-2,6,TotHg,ng/g dw,8.18,0.32,0.42,0.50,0.60
#VALUE!,360,17,s,T,0-2,1,TotHg,ng/g dw,9.33,0.30,0.34,0.44,0.45
#VALUE!,360,17,s,T,0-2,2,TotHg,ng/g dw,9.61,0.11,0.12,0.16,0.16
#VALUE!,360,17,s,T,0-2,3,TotHg,ng/g dw,9.16,0.06,0.05,0.08,0.05
#VALUE!,360,17,s,T,0-2,4,TotHg,ng/g dw,10.78,15.26,12.37,11.82,11.59
#VALUE!,360,17,s,T,0-2,5,TotHg,ng/g dw,12.60,49.87,43.42,40.92,40.41
#VALUE!,360,17,s,T,0-2,6,TotHg,ng/g dw,10.23,4.94,4.43,4.18,4.12
#VALUE!,360,18,s,T,0-2,1,TotHg,ng/g dw,7.56,1.15,1.35,1.39,1.44
#VALUE!,360,18,s,T,0-2,2,TotHg,ng/g dw,9.29,0.29,0.36,0.42,0.47
#VALUE!,360,18,s,T,0-2,3,TotHg,ng/g dw,7.29,0.27,0.33,0.39,0.45
#VALUE!,360,18,s,T,0-2,4,TotHg,ng/g dw,11.79,17.40,17.31,16.66,16.54
#VALUE!,360,18,s,T,0-2,5,TotHg,ng/g dw,12.26,32.54,29.80,29.16,28.09
#VALUE!,360,18,s,T,0-2,6,TotHg,ng/g dw,13.08,96.50,90.60,91.94,82.53
#VALUE!,360,16,s,U,0-2,1,TotHg,ng/g dw,7.16,0.05,0.06,0.06,0.12
#VALUE!,360,16,s,U,0-2,2,TotHg,ng/g dw,11.79,0.05,0.12,0.05,0.20
#VALUE!,360,16,s,U,0-2,3,TotHg,ng/g dw,10.47,0.03,0.05,0.05,0.15
#VALUE!,360,17,s,U,0-2,1,TotHg,ng/g dw,8.82,0.03,0.09,0.04,0.15
#VALUE!,360,17,s,U,0-2,2,TotHg,ng/g dw,9.59,0.03,0.08,0.04,0.15
#VALUE!,360,17,s,U,0-2,3,TotHg,ng/g dw,8.22,0.05,0.07,0.07,0.09
#VALUE!,360,18,s,U,0-2,1,TotHg,ng/g dw,8.80,0.08,0.12,0.13,0.23
#VALUE!,360,18,s,U,0-2,2,TotHg,ng/g dw,NA,NA,NA,NA,NA
