Sampling date,Days post-dosing,Box #,Sample Type,Box Zone,Sample Replicate Number,Fraction,Analyte,Analyte units,199Hg-FeS,nano-200HgS,201Hg-humic ,202Hg2+
8/10/2018,360,16,sF1,A,a,f1,TotHg,ng/g,0.203525,0.220664,0.240059734,0.313898674
8/10/2018,360,16,sF1,A,b,f1,TotHg,ng/g,0.199726,0.2067022,0.214213973,0.266081355
8/10/2018,360,16,sF1,A,c,f1,TotHg,ng/g,1.28863,0.9297802,0.987168039,1.024408329
8/10/2018,360,17,sF1,A,a,f1,TotHg,ng/g,0.331469,0.2860476,0.290179679,0.336605096
8/10/2018,360,17,sF1,A,b,f1,TotHg,ng/g,0.046087,0.0422776,0.045913991,0.0547353
8/10/2018,360,18,sF1,A,a,f1,TotHg,ng/g,0.160618,0.1780086,0.187968905,0.217147748
8/10/2018,360,18,sF1,A,b,f1,TotHg,ng/g,0.074765,0.0797409,0.089588223,0.097367394
8/10/2018,360,18,sF1,A,c,f1,TotHg,ng/g,1.306347,1.3259438,1.391376492,1.43594649
8/10/2018,360,16,sF2,A,a,f2,TotHg,ng/g,0.161822,0.1593672,0.16619034,0.215985417
8/10/2018,360,16,sF2,A,b,f2,TotHg,ng/g,0.083129,0.0824097,0.088995008,0.120026164
8/10/2018,360,16,sF2,A,c,f2,TotHg,ng/g,0.53953,0.3808692,0.415013645,0.423621733
8/10/2018,360,17,sF2,A,a,f2,TotHg,ng/g,0.120334,0.1175863,0.119069786,0.142784421
8/10/2018,360,17,sF2,A,b,f2,TotHg,ng/g,0.010959,0.0085521,0.01430008,0.014882044
8/10/2018,360,18,sF2,A,a,f2,TotHg,ng/g,0.08005,0.0935992,0.10634691,0.128080763
8/10/2018,360,18,sF2,A,b,f2,TotHg,ng/g,0.037806,0.0362387,0.041633759,0.046280397
8/10/2018,360,18,sF2,A,c,f2,TotHg,ng/g,1.026775,1.0151315,1.037505934,1.116449351
8/10/2018,360,16,sF3,A,a,f3,TotHg,ng/g,11.64447,11.513261,11.91738352,14.15393215
8/10/2018,360,16,sF3,A,b,f3,TotHg,ng/g,10.0199,10.036335,10.45959741,12.36959372
8/10/2018,360,16,sF3,A,c,f3,TotHg,ng/g,50.24345,36.872774,39.28242057,39.32766437
8/10/2018,360,17,sF3,A,a,f3,TotHg,ng/g,11.02713,10.01103,10.48553303,11.32697004
8/10/2018,360,17,sF3,A,b,f3,TotHg,ng/g,0.930625,0.4263698,1.186839308,0.516596071
8/10/2018,360,18,sF3,A,a,f3,TotHg,ng/g,12.85682,11.551952,12.56957409,13.77974779
8/10/2018,360,18,sF3,A,b,f3,TotHg,ng/g,2.237526,1.6951525,2.412526227,1.878834738
8/10/2018,360,18,sF3,A,c,f3,TotHg,ng/g,70.18522,69.409324,72.44190286,76.12516198
8/10/2018,360,16,sF4,A,a,f4,TotHg,ng/g,0.059899,0.0771584,0.087935383,0.115882683
8/10/2018,360,16,sF4,A,b,f4,TotHg,ng/g,0.032817,0.0414077,0.054147935,0.067202302
8/10/2018,360,16,sF4,A,c,f4,TotHg,ng/g,0.179297,0.1583691,0.226060961,0.210952598
8/10/2018,360,17,sF4,A,a,f4,TotHg,ng/g,0.049878,0.0556393,0.066854274,0.07535313
8/10/2018,360,17,sF4,A,b,f4,TotHg,ng/g,0.003589,BDL,0.00872417,0.001641395
8/10/2018,360,18,sF4,A,a,f4,TotHg,ng/g,0.059556,0.0653082,0.088437376,0.095894555
8/10/2018,360,18,sF4,A,b,f4,TotHg,ng/g,0.016874,0.0153588,0.026259665,0.026052322
8/10/2018,360,18,sF4,A,c,f4,TotHg,ng/g,0.327358,0.4371967,0.540555783,0.554105177
8/10/2018,360,16,sF5,A,a,f5,TotHg,ng/g,0.127487,0.1744831,0.192241082,0.242827547
8/10/2018,360,16,sF5,A,b,f5,TotHg,ng/g,0.038588,0.0530745,0.066041263,0.07919545
8/10/2018,360,16,sF5,A,c,f5,TotHg,ng/g,0.30354,0.2993955,0.365347463,0.368541686
8/10/2018,360,17,sF5,A,a,f5,TotHg,ng/g,0.050602,0.066284,0.077884328,0.092287524
8/10/2018,360,17,sF5,A,b,f5,TotHg,ng/g,0.017138,0.018701,0.030889349,0.032490757
8/10/2018,360,18,sF5,A,a,f5,TotHg,ng/g,0.070928,0.0981861,0.121786386,0.145105563
8/10/2018,360,18,sF5,A,b,f5,TotHg,ng/g,0.008548,0.0099308,0.015213711,0.015312023
8/10/2018,360,18,sF5,A,c,f5,TotHg,ng/g,0.20146,0.2925037,0.371524123,0.397067087
