site name,site code,state,system,subsite,latitude,longitude,individual ID,sample_date,sample date,sample month,sample year,sample type,sample depth (cm),sediment MeHg (ng/g DW),mehg_units,sediment THg (ng/g DW),total_hg_units,%LOI,%MeHg,,,,notes,notes 2,notes 3,,,,,file name for data pull
Moose Point,MP,ME,Penobscot River,,44.43203,-68.94191,,05/01/2016,,May,2016,grab,0-2,0.22,(ng/g DW),7.6,(ng/g DW),4,3,,,,,,,,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,05/01/2016,,May,2016,grab,0-2,31.62,(ng/g DW),1014.9,(ng/g DW),19.6,3,,,,,,,,,,,
Orrington,O,ME,Penobscot River,,44.69021,-68.81847,,05/01/2016,,May,2016,grab,0-2,76.77,(ng/g DW),1080.8,(ng/g DW),17.6,7,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,05/01/2016,,May,2016,grab,0-2,8,(ng/g DW),2289.1,(ng/g DW),6.1,0,,,,,,,,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,,05/01/2016,,May,2016,grab,0-2,12.97,(ng/g DW),3737.6,(ng/g DW),5.6,0,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,05/01/2016,,May,2016,grab,0-2,1.59,(ng/g DW),164.7,(ng/g DW),2.5,1,,,,,,,,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,,05/01/2016,,May,2016,grab,0-2,0.67,(ng/g DW),34.3,(ng/g DW),1.3,2,,,,,,,,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,,05/01/2016,,May,2016,grab,0-2,,(ng/g DW),24918.3,(ng/g DW),11.8,0,,,,,,,,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,,05/01/2016,,May,2016,grab,0-2,46.16,(ng/g DW),23238.67,(ng/g DW),12.7,0,,,,,,,,,,,
Verona,V,ME,Penobscot River,,44.56907,-68.79124,,05/01/2016,,May,2016,grab,0-2,5.36,(ng/g DW),371.4,(ng/g DW),7.2,1,,,,,,,,,,,
Verona,V,ME,Penobscot River,,44.56907,-68.79124,,05/01/2016,,May,2016,grab,0-2,7.65,(ng/g DW),433.8,(ng/g DW),5.7,2,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,,05/01/2016,,May,2016,grab,0-2,0.39,(ng/g DW),132.1,(ng/g DW),2.1,0,,,,,,,,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,,05/01/2016,,May,2016,grab,0-2,0.75,(ng/g DW),184,(ng/g DW),2.4,0,,,,,,,,,,,
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.222302292070521,(ng/g DW),42.2195,(ng/g DW),11.1111111111111,1,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.116349724539449,(ng/g DW),39.0842,(ng/g DW),10.9278350515464,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.249573899669562,(ng/g DW),71.5462,(ng/g DW),10.6751042998216,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.171627473943138,(ng/g DW),96.7231,(ng/g DW),15.625,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.227937185808868,(ng/g DW),95.2441,(ng/g DW),13.2331485264079,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.353718215142247,(ng/g DW),74.8321,(ng/g DW),13.4326439146248,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.063593584626137,(ng/g DW),64.4944,(ng/g DW),12.5,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.105505405701325,(ng/g DW),87.0218,(ng/g DW),17.2789802151109,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-H,CT,Long Island Sound,HOC,41.34012,-71.87455,BI HOC,08/01/2015,,August,2015,grab,0-4,0.056567538584994,(ng/g DW),84.1189,(ng/g DW),13.0741120249549,0,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.284771943600304,(ng/g DW),6.9806,(ng/g DW),1.37457044673543,4,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.262527527768712,(ng/g DW),8.77056666666667,(ng/g DW),1.06489393583499,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.273221534612542,(ng/g DW),9.305,(ng/g DW),1.02573958810743,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.434760781337879,(ng/g DW),13.5425,(ng/g DW),1.75097276264591,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.585694024907249,(ng/g DW),12.5554,(ng/g DW),1.60513643659713,5,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
Barn Island,BI-L,CT,Long Island Sound,LOC,41.33838,-71.87983,BI LOC,08/01/2015,,August,2015,grab,0-4,0.33654352803519,(ng/g DW),11.8823,(ng/g DW),1.24914972099784,3,,,,,,,,,,,Superfund Sediment 2015 ALL-17May2018
