site name,site code,state,system,subsite,latitude,longitude,individual ID,sample date,sample month,sample day,sample year,taxonomic group,Genus,species,common name,wet weight (g),dry weight (g),length (mm),width (mm),MeHg (ng/g DW),iHg (ng/g DW),THg sum species (ng/g DW),THg DMA (ng/g DW),tissue,n (if composite),notes,notes 2,notes 3,DORM % recovery,TORT2 % recovery,analysis duplicate RPD,,file name for data pull,,,MeHg DL,iHg DL
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8352,18-May-16,May,18,2016,decapod,Palaemonetes,spp.,grass shrimp,0.2989,0.056899999999999,26,,52,53,104,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8353,18-May-16,May,18,2016,decapod,Palaemonetes,spp.,grass shrimp,0.422699999999999,0.0883,29,,26,79,105,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8354,18-May-16,May,18,2016,decapod,Palaemonetes,spp.,grass shrimp,0.2958,0.0533,26,,55,57,113,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8355,18-May-16,May,18,2016,decapod,Palaemonetes,spp.,grass shrimp,0.322600000000001,0.065899999999999,29,,25,53,78,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Veteran's Park,VP,NJ,Hackensack River,,40.67028,-74.12708,8356,18-May-16,May,18,2016,decapod,Palaemonetes,spp.,grass shrimp,0.3782,0.076599999999999,29,,8,54,61,,,,,,inorganic Hg peak calibrated from MeHg calculation due to missed iHg spike,,,,,Shrimp Speciation Reporting Results v2,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8357,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,9.2284,2.1717,87,,1237.04,,,1554.98,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8358,11-Jul-16,July,11,2016,teleost,Fundulus,heteroclitus,mummichog,9.6195,2.3449,90,,1037.27,,,1061.36,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8359,11-Jul-16,July,11,2016,teleost,Fundulus,heteroclitus,mummichog,9.451,2.3337,90,,619.88,,,981.52,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8360,11-Jul-16,July,11,2016,teleost,Fundulus,heteroclitus,mummichog,11.0162,2.6234,89,,794.54,,,1366.84,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Stiletto's,ST,NJ,Berry's Creek,,40.82857,-74.07998,8361,11-Jul-16,July,11,2016,teleost,Fundulus,heteroclitus,mummichog,14.3253,3.2324,97,,564.66,,,483.01,,,M,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8362,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,10.8541,2.3918,89,,1236.00,,,1659.63,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8363,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,7.9763,1.9554,78,,331.69,,,408.45,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8364,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,9.0061,2.0611,84,,1465.00,,,1746.33,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8365,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,8.5816,1.862,84,,679.77,,,771.79,,,F,,,,108,6,,010917 Killifish results and QC,,,,
East Union,EU,NJ,Berry's Creek,,40.82057,-74.08614,8366,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,6.6885,1.4421,76,,437.92,,,388.83,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8367,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,9.8923,2.6365,87,,501.68,,,842.74,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8368,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,7.64,1.6946,80,,788.11,,,1020.50,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8369,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,8.5911,2.0866,87,,555.52,,,386.48,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8370,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,9.1504,2.0551,83,,511.92,,,499.81,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8371,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,6.9762,1.6264,80,,930.48,,,1383.88,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8372,14-Jul-16,July,14,2016,teleost,Fundulus,heteroclitus,mummichog,11.8134,2.792,82,,392.39,,,316.14,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8373,14-Jul-16,July,14,2016,teleost,Fundulus,heteroclitus,mummichog,10.9538,2.3994,89,,276.27,,,284.77,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8374,14-Jul-16,July,14,2016,teleost,Fundulus,heteroclitus,mummichog,13.8176,3.46,95,,491.71,,,570.32,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8375,12-Jul-16,July,12,2016,teleost,Fundulus,heteroclitus,mummichog,5.2627,1.2731,72,,479.70,,,398.92,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Laurel Hill,LH,NJ,Hackensack River,,40.7627,-74.08808,8376,12-Jul-16,July,12,2016,teleost,Fundulus,heteroclitus,mummichog,7.2203,1.7959,81,,410.54,,,314.76,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8377,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,6.3155,1.4013,76,,276.30,,,233.18,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8378,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,4.7341,1.0412,73,,333.68,,,255.97,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8379,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,6.5604,1.5266,79,,389.97,,,196.74,,,F,,,,108,6,,010917 Killifish results and QC,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8380,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,4.66,1.0555,72,,270.44,,,248.42,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Rutkowski Park,RP,NJ,Hackensack River,,40.68846,-74.11045,8381,13-Jul-16,July,13,2016,teleost,Fundulus,heteroclitus,mummichog,5.5278,1.2995,74,,314.00,,,312.91,,,M,,,,108,6,,010917 Killifish results and QC,,,,
Route 3 Underpass,3A,NJ,Berry's Creek,,40.81124,-74.09121,8382,13-Jul-16,July,13,2016,teleost,Menidia,menidia,silverside,1.9313,0.4544,65,,,,,1393.27574850299,,,,,,,,,,,,,,
